Sentence,Type,P,Not P,Contradiction,Connective
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,so
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,therefore
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,but
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,when
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,although
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,0,or
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,0,maybe
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,0,perhaps
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,0,might
The school bus comes on time and the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,and
The school bus comes on time if the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,if
The school bus comes on time so the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,so
The school bus comes on time therefore the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,therefore
The school bus comes on time but the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,but
The school bus comes on time when the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,when
The school bus comes on time although the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,1,although
The school bus comes on time or the school bus does not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,0,or
"Maybe the school bus comes on time, maybe the school bus does not come on time.",experimental,The school bus comes on time.,The school bus does not come on time.,0,maybe
"Perhaps the school bus comes on time, perhaps the school bus does not come on time.",experimental,The school bus comes on time.,The school bus does not come on time.,0,perhaps
The school bus might come on time and the school bus might not come on time.,experimental,The school bus comes on time.,The school bus does not come on time.,0,might
Friendship is very important to Sarah and Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,and
Friendship is very important to Sarah if Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,if
Friendship is very important to Sarah so Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,so
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,therefore
Friendship is very important to Sarah but Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,but
Friendship is very important to Sarah when Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,when
Friendship is very important to Sarah although Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,1,although
Friendship is very important to Sarah or Friendship is not very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,0,or
"Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.",experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,0,maybe
"Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.",experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,0,perhaps
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,experimental,Friendship is very important to Sarah.,Friendship is not very important to Sarah.,0,might
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,and
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,if
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,so
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,therefore
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,but
The baseball cap helps keep the sun off my face when the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,when
The baseball cap helps keep the sun off my face although the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,1,although
The baseball cap helps keep the sun off my face or the baseball cap does not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,0,or
"Maybe the baseball cap helps keep the sun off my face, maybe the baseball cap does not help keep the sun off my face.",experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,0,maybe
"Perhaps the baseball cap helps keep the sun off my face, perhaps the baseball cap does not help keep the sun off my face.",experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,0,perhaps
The baseball cap might help keep the sun off my face and the baseball cap might not help keep the sun off my face.,experimental,The baseball cap helps keep the sun off my face.,The baseball cap does not help keep the sun off my face.,0,might
I drove to the store to buy some milk and I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,and
I drove to the store to buy some milk if I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,if
I drove to the store to buy some milk so I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,so
I drove to the store to buy some milk therefore I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,therefore
I drove to the store to buy some milk but I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,but
I drove to the store to buy some milk when I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,when
I drove to the store to buy some milk although I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,1,although
I drove to the store to buy some milk or I did not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,0,or
"Maybe I drove to the store to buy some milk, maybe I did not drive to the store to buy some milk.",experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,0,maybe
"Perhaps I drove to the store to buy some milk, perhaps I did not drive to the store to buy some milk.",experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,0,perhaps
I might drive to the store to buy some milk and I might not drive to the store to buy some milk.,experimental,I drove to the store to buy some milk.,I did not drive to the store to buy some milk.,0,might
"Perhaps the cat does not chase the mouse, perhaps the kids do not go to the mall.",control,N/A,N/A,0,perhaps
The books on the shelf are all hard cover and I did not run into my classmate at the mall.,control,N/A,N/A,0,and
The dog is alive although the baseball cap does not help keep the sun off my face.,control,N/A,N/A,0,although
"Maybe Jim showed the man his tickets, maybe the dog is not alive.",control,N/A,N/A,0,maybe
I did not call Anna twice today when I did not run into my classmate at the mall.,control,N/A,N/A,0,when
Friendship is very important to Sarah although the school bus does not come on time.,control,N/A,N/A,0,although
This wedding ceremony was held outdoors if the tea in the kettle is not done brewing.,control,N/A,N/A,0,if
Jim was not born in California although my dog weighs ten pounds.,control,N/A,N/A,0,although
"Maybe the tree in my backyard does not have green leaves, maybe she likes apples.",control,N/A,N/A,0,maybe
The cat chases the mouse but the trash is overflowing in my apartment.,control,N/A,N/A,0,but
The mansion has ten rooms or the tree in my backyard has green leaves.,control,N/A,N/A,0,or
I might call Anna twice today and friendship might not be very important to Sarah.,control,N/A,N/A,0,might
The kids do not go to the mall and this wedding ceremony was not held outdoors.,control,N/A,N/A,0,and
The books on the shelf are all hard cover if I ran into my classmate at the mall.,control,N/A,N/A,0,if
I drove to the store to buy some milk so this wedding ceremony was not held outdoors.,control,N/A,N/A,0,so
The mansion might not have ten rooms and I might not run into my classmate at the mall.,control,N/A,N/A,0,might
"Maybe the tea in the kettle is not done brewing, maybe I ran into my classmate at the mall.",control,N/A,N/A,0,maybe
My sister did not tell me to walk the dog although I do not have a car.,control,N/A,N/A,0,although
I do not have a car therefore Friendship is not very important to Sarah.,control,N/A,N/A,0,therefore
Steve went to New York so my dog does not weigh ten pounds.,control,N/A,N/A,0,so
My sister did not tell me to walk the dog so the school bus does not come on time.,control,N/A,N/A,0,so
The boy is not playing soccer so the boy is playing soccer.,control,N/A,N/A,0,so
I did not drive to the store to buy some milk when the tree in my backyard has green leaves.,control,N/A,N/A,0,when
The man has forgotten to do his homework but I did not drive to the store to buy some milk.,control,N/A,N/A,0,but
I do not have a car although the kids go to the mall.,control,N/A,N/A,0,although
"Maybe the kids go to the mall, maybe the school bus does not come on time.",control,N/A,N/A,0,maybe
The cat chases the mouse therefore my sister did not tell me to walk the dog.,control,N/A,N/A,0,therefore
The boy might be playing soccer and this wedding ceremony might be held outdoors.,control,N/A,N/A,0,might
The dog is alive if I did not drive to the store to buy some milk.,control,N/A,N/A,0,if
"Perhaps Friendship is not very important to Sarah ., perhaps I do not have a car.",control,N/A,N/A,0,perhaps
My dog weighs ten pounds although the cat chases the mouse.,control,N/A,N/A,0,although
My dog weighs ten pounds if Friendship is very important to Sarah.,control,N/A,N/A,0,if
The dog is not alive when the school bus does not come on time.,control,N/A,N/A,0,when
"Maybe I did not run into my classmate at the mall, maybe the boy is playing soccer.",control,N/A,N/A,0,maybe
My dog does not weigh ten pounds if I do not have a car.,control,N/A,N/A,0,if
The man has not forgotten to do his homework therefore Jim did not show the man his tickets.,control,N/A,N/A,0,therefore
Steve did not go to New York when my dog weighs ten pounds.,control,N/A,N/A,0,when
Friendship is not very important to Sarah but my sister told me to walk the dog.,control,N/A,N/A,0,but
"Maybe my dog does not weigh ten pounds, maybe I did not run into my classmate at the mall.",control,N/A,N/A,0,maybe
I have a car if Friendship is very important to Sarah.,control,N/A,N/A,0,if
The books on the shelf are not all hard cover therefore the tea in the kettle is done brewing.,control,N/A,N/A,0,therefore
My dog weighs ten pounds if the baseball cap helps keep the sun off my face.,control,N/A,N/A,0,if
My dog does not weigh ten pounds and I drove to the store to buy some milk.,control,N/A,N/A,0,and
She might not like apples and the dog might be alive.,control,N/A,N/A,0,might
I drove to the store to buy some milk so the teacher did not assign homework for the week.,control,N/A,N/A,0,so
The boy is playing soccer when the cat does not chase the mouse.,control,N/A,N/A,0,when
I ran into my classmate at the mall so the cat chases the mouse.,control,N/A,N/A,0,so
Steve did not go to New York but Jim did not show the man his tickets.,control,N/A,N/A,0,but
The teacher might assign homework for the week and Steve might not go to New York.,control,N/A,N/A,0,might
Friendship is very important to Sarah but the mansion does not have ten rooms.,control,N/A,N/A,0,but
The tea in the kettle is done brewing although the dog is alive.,control,N/A,N/A,0,although
Friendship is very important to Sarah and the boy is not playing soccer.,control,N/A,N/A,0,and
Steve did not go to New York therefore I did not call Anna twice today.,control,N/A,N/A,0,therefore
The boy is not playing soccer but the man has not forgotten to do his homework.,control,N/A,N/A,0,but
The school bus comes on time so the tree in my backyard does not have green leaves.,control,N/A,N/A,0,so
The school bus comes on time when the soccer game was not very exciting.,control,N/A,N/A,0,when
My dog weighs ten pounds and the tea in the kettle is done brewing.,control,N/A,N/A,0,and
"Maybe the trash is not overflowing in my apartment, maybe I did not call Anna twice today.",control,N/A,N/A,0,maybe
The mansion has ten rooms but Friendship is not very important to Sarah.,control,N/A,N/A,0,but
The teacher did not assign homework for the week so my sister told me to walk the dog.,control,N/A,N/A,0,so
"Perhaps the books on the shelf are all hard cover, perhaps the mansion has ten rooms.",control,N/A,N/A,0,perhaps
The boy is not playing soccer but the books on the shelf are all hard cover.,control,N/A,N/A,0,but
"Perhaps the mansion does not have ten rooms, perhaps I did not call Anna twice today.",control,N/A,N/A,0,perhaps
"Perhaps I did not drive to the store to buy some milk, perhaps my sister told me to walk the dog.",control,N/A,N/A,0,perhaps
I might not call Anna twice today and she might not like apples.,control,N/A,N/A,0,might
My dog does not weigh ten pounds or the man has forgotten to do his homework.,control,N/A,N/A,0,or
The man has not forgotten to do his homework but the soccer game was very exciting.,control,N/A,N/A,0,but
The soccer game was very exciting and I called Anna twice today.,control,N/A,N/A,0,and
The mansion has ten rooms when the tree in my backyard does not have green leaves.,control,N/A,N/A,0,when
The tree in my backyard has green leaves or Jim did not show the man his tickets.,control,N/A,N/A,0,or
I did not drive to the store to buy some milk although I called Anna twice today.,control,N/A,N/A,0,although
The books on the shelf are not all hard cover so Jim showed the man his tickets.,control,N/A,N/A,0,so
The boy is playing soccer therefore my dog weighs ten pounds.,control,N/A,N/A,0,therefore
The baseball cap does not help keep the sun off my face therefore my dog weighs ten pounds.,control,N/A,N/A,0,therefore
I might drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,control,N/A,N/A,0,might
The soccer game was very exciting if she does not like apples.,control,N/A,N/A,0,if
I might call Anna twice today and Steve might go to New York.,control,N/A,N/A,0,might
The kids go to the mall when I ran into my classmate at the mall.,control,N/A,N/A,0,when
"Perhaps the kids do not go to the mall, perhaps I ran into my classmate at the mall.",control,N/A,N/A,0,perhaps
"Maybe Steve did not go to New York, maybe Steve did not go to New York.",control,N/A,N/A,0,maybe
Friendship is very important to Sarah or Steve did not go to New York.,control,N/A,N/A,0,or
The trash is overflowing in my apartment therefore the books on the shelf are not all hard cover.,control,N/A,N/A,0,therefore
The tea in the kettle is done brewing when Friendship is very important to Sarah.,control,N/A,N/A,0,when
The trash is overflowing in my apartment and the kids go to the mall.,control,N/A,N/A,0,and
The teacher might not assign homework for the week and the soccer game might not be very exciting.,control,N/A,N/A,0,might
"Maybe the school bus does not come on time, maybe the tea in the kettle is not done brewing.",control,N/A,N/A,0,maybe
This wedding ceremony was not held outdoors although friendship is not very important to Sarah.,control,N/A,N/A,0,although
"Perhaps the school bus does not come on time, perhaps Friendship is very important to Sarah.",control,N/A,N/A,0,perhaps
"Perhaps the baseball cap does not help keep the sun off my face, perhaps the cat chases the mouse.",control,N/A,N/A,0,perhaps
"Maybe the tea in the kettle is not done brewing, maybe I did not call Anna twice today.",control,N/A,N/A,0,maybe
I drove to the store to buy some milk although my sister did not tell me to walk the dog.,control,N/A,N/A,0,although
I did not run into my classmate at the mall although my dog does not weigh ten pounds.,control,N/A,N/A,0,although
The tea in the kettle is not done brewing so the boy is not playing soccer.,control,N/A,N/A,0,so
I did not drive to the store to buy some milk but the teacher did not assign homework for the week.,control,N/A,N/A,0,but
The man has forgotten to do his homework so the books on the shelf are all hard cover.,control,N/A,N/A,0,so
The kids might go to the mall and the mansion might have ten rooms.,control,N/A,N/A,0,might
I might not drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,control,N/A,N/A,0,might
"Maybe the soccer game was not very exciting, maybe the books on the shelf are all hard cover.",control,N/A,N/A,0,maybe
The tea in the kettle is not done brewing although Jim showed the man his tickets.,control,N/A,N/A,0,although
I do not have a car or Jim was not born in California.,control,N/A,N/A,0,or
