Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
I drove to the store to buy some milk if I did not drive to the store to buy some milk.,if,1,experimental,277,277,[-2.653409090909091]
I drove to the store to buy some milk so I did not drive to the store to buy some milk.,so,1,experimental,278,278,[-2.6192737926136362]
I drove to the store to buy some milk therefore I did not drive to the store to buy some milk.,therefore,1,experimental,279,279,[-2.78076171875]
I drove to the store to buy some milk but I did not drive to the store to buy some milk.,but,1,experimental,280,280,[-2.595925071022727]
I drove to the store to buy some milk when I did not drive to the store to buy some milk.,when,1,experimental,281,281,[-2.8283025568181817]
I drove to the store to buy some milk although I did not drive to the store to buy some milk.,although,1,experimental,282,282,[-2.750155362215909]
I drove to the store to buy some milk or I did not drive to the store to buy some milk.,or,0,experimental,283,283,[-2.599662087180398]
"Maybe I drove to the store to buy some milk, maybe I did not drive to the store to buy some milk.",maybe,0,experimental,284,284,[-2.307988484700521]
"Perhaps I drove to the store to buy some milk, perhaps I did not drive to the store to buy some milk.",perhaps,0,experimental,285,285,[-2.5049158732096353]
I might drive to the store to buy some milk and I might not drive to the store to buy some milk.,might,0,experimental,286,286,[-2.3376358695652173]
"Perhaps the cat does not chase the mouse, perhaps the kids do not go to the mall.",perhaps,0,control,287,287,[-3.5262129934210527]
The books on the shelf are all hard cover and I did not run into my classmate at the mall.,and,0,control,288,288,[-3.7792524857954546]
The dog is alive although the baseball cap does not help keep the sun off my face.,although,0,control,289,289,[-4.620388454861111]
"Maybe Jim showed the man his tickets, maybe the dog is not alive.",maybe,0,control,290,290,[-5.723958333333333]
I did not call Anna twice today when I did not run into my classmate at the mall.,when,0,control,291,291,[-4.11060791015625]
Friendship is very important to Sarah although the school bus does not come on time.,although,0,control,292,292,[-4.021369485294118]
This wedding ceremony was held outdoors if the tea in the kettle is not done brewing.,if,0,control,293,293,[-5.012982536764706]
Jim was not born in California although my dog weighs ten pounds.,although,0,control,294,294,[-5.297175480769231]
"Maybe the tree in my backyard does not have green leaves, maybe she likes apples.",maybe,0,control,295,295,[-4.385627297794118]
The cat chases the mouse but the trash is overflowing in my apartment.,but,0,control,296,296,[-4.322395833333333]
The mansion has ten rooms or the tree in my backyard has green leaves.,or,0,control,297,297,[-4.787239583333333]
I might call Anna twice today and friendship might not be very important to Sarah.,might,0,control,298,298,[-5.828125]
The kids do not go to the mall and this wedding ceremony was not held outdoors.,and,0,control,299,299,[-4.396024816176471]
The books on the shelf are all hard cover if I ran into my classmate at the mall.,if,0,control,300,300,[-3.97861328125]
I drove to the store to buy some milk so this wedding ceremony was not held outdoors.,so,0,control,301,301,[-4.122395833333333]
The mansion might not have ten rooms and I might not run into my classmate at the mall.,might,0,control,302,302,[-4.248361206054687]
"Maybe the tea in the kettle is not done brewing, maybe I ran into my classmate at the mall.",maybe,0,control,303,303,[-4.121379505504262]
My sister did not tell me to walk the dog although I do not have a car.,although,0,control,304,304,[-3.974582248263889]
I do not have a car therefore Friendship is not very important to Sarah.,therefore,0,control,305,305,[-4.711328125]
Steve went to New York so my dog does not weigh ten pounds.,so,0,control,306,306,[-5.140904017857143]
My sister did not tell me to walk the dog so the school bus does not come on time.,so,0,control,307,307,[-3.9954833984375]
The boy is not playing soccer so the boy is playing soccer.,so,0,control,308,308,[-4.208533653846154]
I did not drive to the store to buy some milk when the tree in my backyard has green leaves.,when,0,control,309,309,[-3.5824032738095237]
The man has forgotten to do his homework but I did not drive to the store to buy some milk.,but,0,control,310,310,[-3.816592261904762]
I do not have a car although the kids go to the mall.,although,0,control,311,311,[-3.7964564732142856]
"Maybe the kids go to the mall, maybe the school bus does not come on time.",maybe,0,control,312,312,[-3.4608289930555554]
The cat chases the mouse therefore my sister did not tell me to walk the dog.,therefore,0,control,313,313,[-4.127061631944445]
The boy might be playing soccer and this wedding ceremony might be held outdoors.,might,0,control,314,314,[-4.767838541666666]
The dog is alive if I did not drive to the store to buy some milk.,if,0,control,315,315,[-4.098345588235294]
"Perhaps Friendship is not very important to Sarah ., perhaps I do not have a car.",perhaps,0,control,316,316,[-5.530158547794118]
My dog weighs ten pounds although the cat chases the mouse.,although,0,control,317,317,[-5.2763671875]
My dog weighs ten pounds if Friendship is very important to Sarah.,if,0,control,318,318,[-5.990609975961538]
The dog is not alive when the school bus does not come on time.,when,0,control,319,319,[-4.070182291666667]
"Maybe I did not run into my classmate at the mall, maybe the boy is playing soccer.",maybe,0,control,320,320,[-4.230859375]
My dog does not weigh ten pounds if I do not have a car.,if,0,control,321,321,[-4.2869140625]
The man has not forgotten to do his homework therefore Jim did not show the man his tickets.,therefore,0,control,322,322,[-5.243215460526316]
Steve did not go to New York when my dog weighs ten pounds.,when,0,control,323,323,[-4.796840122767857]
Friendship is not very important to Sarah but my sister told me to walk the dog.,but,0,control,324,324,[-4.201714409722222]
"Maybe my dog does not weigh ten pounds, maybe I did not run into my classmate at the mall.",maybe,0,control,325,325,[-4.0748291015625]
I have a car if Friendship is very important to Sarah.,if,0,control,326,326,[-5.724446614583333]
The books on the shelf are not all hard cover therefore the tea in the kettle is done brewing.,therefore,0,control,327,327,[-4.8900390625]
My dog weighs ten pounds if the baseball cap helps keep the sun off my face.,if,0,control,328,328,[-4.551470588235294]
My dog does not weigh ten pounds and I drove to the store to buy some milk.,and,0,control,329,329,[-3.7782660590277777]
She might not like apples and the dog might be alive.,might,0,control,330,330,[-4.995442708333333]
I drove to the store to buy some milk so the teacher did not assign homework for the week.,so,0,control,331,331,[-3.636474609375]
The boy is playing soccer when the cat does not chase the mouse.,when,0,control,332,332,[-4.599888392857143]
I ran into my classmate at the mall so the cat chases the mouse.,so,0,control,333,333,[-3.8226812026079964]
Steve did not go to New York but Jim did not show the man his tickets.,but,0,control,334,334,[-4.4768210018382355]
The teacher might assign homework for the week and Steve might not go to New York.,might,0,control,335,335,[-4.707548253676471]
Friendship is very important to Sarah but the mansion does not have ten rooms.,but,0,control,336,336,[-4.68157958984375]
The tea in the kettle is done brewing although the dog is alive.,although,0,control,337,337,[-5.34375]
Friendship is very important to Sarah and the boy is not playing soccer.,and,0,control,338,338,[-4.389192708333334]
Steve did not go to New York therefore I did not call Anna twice today.,therefore,0,control,339,339,[-4.842559814453125]
The boy is not playing soccer but the man has not forgotten to do his homework.,but,0,control,340,340,[-4.1796875]
The school bus comes on time so the tree in my backyard does not have green leaves.,so,0,control,341,341,[-4.594292534722222]
The school bus comes on time when the soccer game was not very exciting.,when,0,control,342,342,[-4.591666666666667]
My dog weighs ten pounds and the tea in the kettle is done brewing.,and,0,control,343,343,[-4.648893229166666]
"Maybe the trash is not overflowing in my apartment, maybe I did not call Anna twice today.",maybe,0,control,344,344,[-4.594983552631579]
The mansion has ten rooms but Friendship is not very important to Sarah.,but,0,control,345,345,[-5.194196428571429]
The teacher did not assign homework for the week so my sister told me to walk the dog.,so,0,control,346,346,[-3.7303659539473686]
"Perhaps the books on the shelf are all hard cover, perhaps the mansion has ten rooms.",perhaps,0,control,347,347,[-4.448784722222222]
The boy is not playing soccer but the books on the shelf are all hard cover.,but,0,control,348,348,[-4.169347426470588]
"Perhaps the mansion does not have ten rooms, perhaps I did not call Anna twice today.",perhaps,0,control,349,349,[-4.831217447916667]
"Perhaps I did not drive to the store to buy some milk, perhaps my sister told me to walk the dog.",perhaps,0,control,350,350,[-3.576490319293478]
I might not call Anna twice today and she might not like apples.,might,0,control,351,351,[-5.546875]
My dog does not weigh ten pounds or the man has forgotten to do his homework.,or,0,control,352,352,[-4.670553768382353]
The man has not forgotten to do his homework but the soccer game was very exciting.,but,0,control,353,353,[-4.5978860294117645]
The soccer game was very exciting and I called Anna twice today.,and,0,control,354,354,[-5.431490384615385]
The mansion has ten rooms when the tree in my backyard does not have green leaves.,when,0,control,355,355,[-4.5060891544117645]
The tree in my backyard has green leaves or Jim did not show the man his tickets.,or,0,control,356,356,[-5.515407986111111]
I did not drive to the store to buy some milk although I called Anna twice today.,although,0,control,357,357,[-4.48583984375]
The books on the shelf are not all hard cover so Jim showed the man his tickets.,so,0,control,358,358,[-5.271918402777778]
The boy is playing soccer therefore my dog weighs ten pounds.,therefore,0,control,359,359,[-5.846028645833333]
The baseball cap does not help keep the sun off my face therefore my dog weighs ten pounds.,therefore,0,control,360,360,[-4.966591282894737]
I might drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,control,361,361,[-3.64013671875]
The soccer game was very exciting if she does not like apples.,if,0,control,362,362,[-5.065204326923077]
I might call Anna twice today and Steve might go to New York.,might,0,control,363,363,[-5.469761439732143]
The kids go to the mall when I ran into my classmate at the mall.,when,0,control,364,364,[-3.693869198069853]
"Perhaps the kids do not go to the mall, perhaps I ran into my classmate at the mall.",perhaps,0,control,365,365,[-3.776425316220238]
"Maybe Steve did not go to New York, maybe Steve did not go to New York.",maybe,0,control,366,366,[-2.9142930772569446]
Friendship is very important to Sarah or Steve did not go to New York.,or,0,control,367,367,[-4.542633056640625]
The trash is overflowing in my apartment therefore the books on the shelf are not all hard cover.,therefore,0,control,368,368,[-4.6430921052631575]
The tea in the kettle is done brewing when Friendship is very important to Sarah.,when,0,control,369,369,[-5.89306640625]
The trash is overflowing in my apartment and the kids go to the mall.,and,0,control,370,370,[-4.144010416666666]
The teacher might not assign homework for the week and the soccer game might not be very exciting.,might,0,control,371,371,[-4.204461348684211]
"Maybe the school bus does not come on time, maybe the tea in the kettle is not done brewing.",maybe,0,control,372,372,[-4.184988839285714]
This wedding ceremony was not held outdoors although friendship is not very important to Sarah.,although,0,control,373,373,[-5.1396484375]
"Perhaps the school bus does not come on time, perhaps Friendship is very important to Sarah.",perhaps,0,control,374,374,[-4.855685763888889]
"Perhaps the baseball cap does not help keep the sun off my face, perhaps the cat chases the mouse.",perhaps,0,control,375,375,[-4.1220481178977275]
"Maybe the tea in the kettle is not done brewing, maybe I did not call Anna twice today.",maybe,0,control,376,376,[-4.76015625]
I drove to the store to buy some milk although my sister did not tell me to walk the dog.,although,0,control,377,377,[-3.5948428199404763]
I did not run into my classmate at the mall although my dog does not weigh ten pounds.,although,0,control,378,378,[-4.04576416015625]
The tea in the kettle is not done brewing so the boy is not playing soccer.,so,0,control,379,379,[-4.667279411764706]
I did not drive to the store to buy some milk but the teacher did not assign homework for the week.,but,0,control,380,380,[-3.6585582386363638]
The man has forgotten to do his homework so the books on the shelf are all hard cover.,so,0,control,381,381,[-4.295230263157895]
The kids might go to the mall and the mansion might have ten rooms.,might,0,control,382,382,[-4.546875]
I might not drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,control,383,383,[-3.7084375]
"Maybe the soccer game was not very exciting, maybe the books on the shelf are all hard cover.",maybe,0,control,384,384,[-3.9341796875]
The tea in the kettle is not done brewing although Jim showed the man his tickets.,although,0,control,385,385,[-5.822610294117647]
I do not have a car or Jim was not born in California.,or,0,control,386,386,[-4.281110491071429]
