Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
I drove to the store to buy some milk if I did not drive to the store to buy some milk.,if,1,experimental,277,277,[-2.6510675603693183]
I drove to the store to buy some milk so I did not drive to the store to buy some milk.,so,1,experimental,278,278,[-2.400390625]
I drove to the store to buy some milk therefore I did not drive to the store to buy some milk.,therefore,1,experimental,279,279,[-2.4960382634943183]
I drove to the store to buy some milk but I did not drive to the store to buy some milk.,but,1,experimental,280,280,[-2.2897283380681817]
I drove to the store to buy some milk when I did not drive to the store to buy some milk.,when,1,experimental,281,281,[-2.417813387784091]
I drove to the store to buy some milk although I did not drive to the store to buy some milk.,although,1,experimental,282,282,[-2.5970015092329546]
I drove to the store to buy some milk or I did not drive to the store to buy some milk.,or,0,experimental,283,283,[-2.478934548117898]
"Maybe I drove to the store to buy some milk, maybe I did not drive to the store to buy some milk.",maybe,0,experimental,284,284,[-2.2698389689127603]
"Perhaps I drove to the store to buy some milk, perhaps I did not drive to the store to buy some milk.",perhaps,0,experimental,285,285,[-2.3631553649902344]
I might drive to the store to buy some milk and I might not drive to the store to buy some milk.,might,0,experimental,286,286,[-2.3020815641983696]
"Perhaps the cat does not chase the mouse, perhaps the kids do not go to the mall.",perhaps,0,control,287,287,[-3.324629934210526]
The books on the shelf are all hard cover and I did not run into my classmate at the mall.,and,0,control,288,288,[-3.854403409090909]
The dog is alive although the baseball cap does not help keep the sun off my face.,although,0,control,289,289,[-4.271918402777778]
"Maybe Jim showed the man his tickets, maybe the dog is not alive.",maybe,0,control,290,290,[-5.319270833333333]
I did not call Anna twice today when I did not run into my classmate at the mall.,when,0,control,291,291,[-4.333740234375]
Friendship is very important to Sarah although the school bus does not come on time.,although,0,control,292,292,[-4.2526999080882355]
This wedding ceremony was held outdoors if the tea in the kettle is not done brewing.,if,0,control,293,293,[-5.1482077205882355]
Jim was not born in California although my dog weighs ten pounds.,although,0,control,294,294,[-5.498497596153846]
"Maybe the tree in my backyard does not have green leaves, maybe she likes apples.",maybe,0,control,295,295,[-4.284567440257353]
The cat chases the mouse but the trash is overflowing in my apartment.,but,0,control,296,296,[-4.326822916666667]
The mansion has ten rooms or the tree in my backyard has green leaves.,or,0,control,297,297,[-4.592805989583334]
I might call Anna twice today and friendship might not be very important to Sarah.,might,0,control,298,298,[-5.599365234375]
The kids do not go to the mall and this wedding ceremony was not held outdoors.,and,0,control,299,299,[-4.397173713235294]
The books on the shelf are all hard cover if I ran into my classmate at the mall.,if,0,control,300,300,[-4.02138671875]
I drove to the store to buy some milk so this wedding ceremony was not held outdoors.,so,0,control,301,301,[-4.092013888888889]
The mansion might not have ten rooms and I might not run into my classmate at the mall.,might,0,control,302,302,[-4.339990234375]
"Maybe the tea in the kettle is not done brewing, maybe I ran into my classmate at the mall.",maybe,0,control,303,303,[-3.7626953125]
My sister did not tell me to walk the dog although I do not have a car.,although,0,control,304,304,[-3.9911024305555554]
I do not have a car therefore Friendship is not very important to Sarah.,therefore,0,control,305,305,[-5.008463541666667]
Steve went to New York so my dog does not weigh ten pounds.,so,0,control,306,306,[-4.835658482142857]
My sister did not tell me to walk the dog so the school bus does not come on time.,so,0,control,307,307,[-3.5695556640625]
The boy is not playing soccer so the boy is playing soccer.,so,0,control,308,308,[-3.830078125]
I did not drive to the store to buy some milk when the tree in my backyard has green leaves.,when,0,control,309,309,[-3.6361607142857144]
The man has forgotten to do his homework but I did not drive to the store to buy some milk.,but,0,control,310,310,[-3.7174479166666665]
I do not have a car although the kids go to the mall.,although,0,control,311,311,[-4.164271763392857]
"Maybe the kids go to the mall, maybe the school bus does not come on time.",maybe,0,control,312,312,[-3.5394965277777777]
The cat chases the mouse therefore my sister did not tell me to walk the dog.,therefore,0,control,313,313,[-4.0513916015625]
The boy might be playing soccer and this wedding ceremony might be held outdoors.,might,0,control,314,314,[-4.711067708333333]
The dog is alive if I did not drive to the store to buy some milk.,if,0,control,315,315,[-4.124310661764706]
"Perhaps Friendship is not very important to Sarah ., perhaps I do not have a car.",perhaps,0,control,316,316,[-5.641544117647059]
My dog weighs ten pounds although the cat chases the mouse.,although,0,control,317,317,[-5.309044471153846]
My dog weighs ten pounds if Friendship is very important to Sarah.,if,0,control,318,318,[-6.039813701923077]
The dog is not alive when the school bus does not come on time.,when,0,control,319,319,[-4.108723958333333]
"Maybe I did not run into my classmate at the mall, maybe the boy is playing soccer.",maybe,0,control,320,320,[-4.06279296875]
My dog does not weigh ten pounds if I do not have a car.,if,0,control,321,321,[-4.081380208333333]
The man has not forgotten to do his homework therefore Jim did not show the man his tickets.,therefore,0,control,322,322,[-5.014391447368421]
Steve did not go to New York when my dog weighs ten pounds.,when,0,control,323,323,[-4.906668526785714]
Friendship is not very important to Sarah but my sister told me to walk the dog.,but,0,control,324,324,[-4.228190104166667]
"Maybe my dog does not weigh ten pounds, maybe I did not run into my classmate at the mall.",maybe,0,control,325,325,[-3.8033558238636362]
I have a car if Friendship is very important to Sarah.,if,0,control,326,326,[-5.83642578125]
The books on the shelf are not all hard cover therefore the tea in the kettle is done brewing.,therefore,0,control,327,327,[-4.59580078125]
My dog weighs ten pounds if the baseball cap helps keep the sun off my face.,if,0,control,328,328,[-4.686351102941177]
My dog does not weigh ten pounds and I drove to the store to buy some milk.,and,0,control,329,329,[-3.8646918402777777]
She might not like apples and the dog might be alive.,might,0,control,330,330,[-4.961588541666667]
I drove to the store to buy some milk so the teacher did not assign homework for the week.,so,0,control,331,331,[-3.3271484375]
The boy is playing soccer when the cat does not chase the mouse.,when,0,control,332,332,[-4.484933035714286]
I ran into my classmate at the mall so the cat chases the mouse.,so,0,control,333,333,[-4.015696806066177]
Steve did not go to New York but Jim did not show the man his tickets.,but,0,control,334,334,[-4.269358915441177]
The teacher might assign homework for the week and Steve might not go to New York.,might,0,control,335,335,[-4.879365808823529]
Friendship is very important to Sarah but the mansion does not have ten rooms.,but,0,control,336,336,[-4.714599609375]
The tea in the kettle is done brewing although the dog is alive.,although,0,control,337,337,[-5.096819196428571]
Friendship is very important to Sarah and the boy is not playing soccer.,and,0,control,338,338,[-4.348046875]
Steve did not go to New York therefore I did not call Anna twice today.,therefore,0,control,339,339,[-4.62725830078125]
The boy is not playing soccer but the man has not forgotten to do his homework.,but,0,control,340,340,[-4.1171875]
The school bus comes on time so the tree in my backyard does not have green leaves.,so,0,control,341,341,[-4.281195746527778]
The school bus comes on time when the soccer game was not very exciting.,when,0,control,342,342,[-5.035416666666666]
My dog weighs ten pounds and the tea in the kettle is done brewing.,and,0,control,343,343,[-4.769270833333334]
"Maybe the trash is not overflowing in my apartment, maybe I did not call Anna twice today.",maybe,0,control,344,344,[-4.3881578947368425]
The mansion has ten rooms but Friendship is not very important to Sarah.,but,0,control,345,345,[-5.422433035714286]
The teacher did not assign homework for the week so my sister told me to walk the dog.,so,0,control,346,346,[-3.3204152960526314]
"Perhaps the books on the shelf are all hard cover, perhaps the mansion has ten rooms.",perhaps,0,control,347,347,[-4.355034722222222]
The boy is not playing soccer but the books on the shelf are all hard cover.,but,0,control,348,348,[-4.257008272058823]
"Perhaps the mansion does not have ten rooms, perhaps I did not call Anna twice today.",perhaps,0,control,349,349,[-4.594862196180555]
"Perhaps I did not drive to the store to buy some milk, perhaps my sister told me to walk the dog.",perhaps,0,control,350,350,[-3.3161514945652173]
I might not call Anna twice today and she might not like apples.,might,0,control,351,351,[-5.649553571428571]
My dog does not weigh ten pounds or the man has forgotten to do his homework.,or,0,control,352,352,[-4.753561580882353]
The man has not forgotten to do his homework but the soccer game was very exciting.,but,0,control,353,353,[-4.384650735294118]
The soccer game was very exciting and I called Anna twice today.,and,0,control,354,354,[-5.174579326923077]
The mansion has ten rooms when the tree in my backyard does not have green leaves.,when,0,control,355,355,[-4.460047104779412]
The tree in my backyard has green leaves or Jim did not show the man his tickets.,or,0,control,356,356,[-5.168836805555555]
I did not drive to the store to buy some milk although I called Anna twice today.,although,0,control,357,357,[-4.385308159722222]
The books on the shelf are not all hard cover so Jim showed the man his tickets.,so,0,control,358,358,[-5.051215277777778]
The boy is playing soccer therefore my dog weighs ten pounds.,therefore,0,control,359,359,[-5.7900390625]
The baseball cap does not help keep the sun off my face therefore my dog weighs ten pounds.,therefore,0,control,360,360,[-4.822368421052632]
I might drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,control,361,361,[-3.4416097005208335]
The soccer game was very exciting if she does not like apples.,if,0,control,362,362,[-5.3661358173076925]
I might call Anna twice today and Steve might go to New York.,might,0,control,363,363,[-5.311331612723214]
The kids go to the mall when I ran into my classmate at the mall.,when,0,control,364,364,[-3.9292853860294117]
"Perhaps the kids do not go to the mall, perhaps I ran into my classmate at the mall.",perhaps,0,control,365,365,[-3.8666294642857144]
"Maybe Steve did not go to New York, maybe Steve did not go to New York.",maybe,0,control,366,366,[-2.9532606336805554]
Friendship is very important to Sarah or Steve did not go to New York.,or,0,control,367,367,[-4.4110107421875]
The trash is overflowing in my apartment therefore the books on the shelf are not all hard cover.,therefore,0,control,368,368,[-4.885690789473684]
The tea in the kettle is done brewing when Friendship is very important to Sarah.,when,0,control,369,369,[-5.24951171875]
The trash is overflowing in my apartment and the kids go to the mall.,and,0,control,370,370,[-4.483854166666666]
The teacher might not assign homework for the week and the soccer game might not be very exciting.,might,0,control,371,371,[-4.006784539473684]
"Maybe the school bus does not come on time, maybe the tea in the kettle is not done brewing.",maybe,0,control,372,372,[-3.853329613095238]
This wedding ceremony was not held outdoors although friendship is not very important to Sarah.,although,0,control,373,373,[-5.60302734375]
"Perhaps the school bus does not come on time, perhaps Friendship is very important to Sarah.",perhaps,0,control,374,374,[-4.847005208333333]
"Perhaps the baseball cap does not help keep the sun off my face, perhaps the cat chases the mouse.",perhaps,0,control,375,375,[-3.8778187144886362]
"Maybe the tea in the kettle is not done brewing, maybe I did not call Anna twice today.",maybe,0,control,376,376,[-4.346484375]
I drove to the store to buy some milk although my sister did not tell me to walk the dog.,although,0,control,377,377,[-3.6944056919642856]
I did not run into my classmate at the mall although my dog does not weigh ten pounds.,although,0,control,378,378,[-4.2875732421875]
The tea in the kettle is not done brewing so the boy is not playing soccer.,so,0,control,379,379,[-4.478400735294118]
I did not drive to the store to buy some milk but the teacher did not assign homework for the week.,but,0,control,380,380,[-3.2405894886363638]
The man has forgotten to do his homework so the books on the shelf are all hard cover.,so,0,control,381,381,[-4.382195723684211]
The kids might go to the mall and the mansion might have ten rooms.,might,0,control,382,382,[-4.840104166666666]
I might not drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,control,383,383,[-3.3328515625]
"Maybe the soccer game was not very exciting, maybe the books on the shelf are all hard cover.",maybe,0,control,384,384,[-3.899609375]
The tea in the kettle is not done brewing although Jim showed the man his tickets.,although,0,control,385,385,[-5.398897058823529]
I do not have a car or Jim was not born in California.,or,0,control,386,386,[-4.629743303571429]
