Sentence,Connective,Contradiction,Instructions,Type,Prompt_ID,Total order,Response,proposition,Trial,Correct,Model
I have a car and I do not have a car.,and,1,3,experimental,45,817,Yes,5,5,0,Llama 3.2 1B
I have a car if I do not have a car.,if,1,3,experimental,46,818,Yes,5,5,0,Llama 3.2 1B
I have a car so I do not have a car.,so,1,3,experimental,47,819,Yes,5,5,0,Llama 3.2 1B
I have a car therefore I do not have a car.,therefore,1,3,experimental,48,820,Yes,5,5,0,Llama 3.2 1B
I have a car but I do not have a car.,but,1,3,experimental,49,821,Yes,5,5,0,Llama 3.2 1B
I have a car when I do not have a car.,when,1,3,experimental,50,822,No,5,5,1,Llama 3.2 1B
I have a car although I do not have a car.,although,1,3,experimental,51,823,Yes,5,5,0,Llama 3.2 1B
I have a car or I do not have a car.,or,0,3,experimental,52,824,Yes,5,5,1,Llama 3.2 1B
Maybe I have a car, maybe I do not have a car.,maybe,0,3,experimental,53,825,No,5,5,0,Llama 3.2 1B
Perhaps I have a car, perhaps I do not have a car.,perhaps,0,3,experimental,54,826,No,5,5,0,Llama 3.2 1B
I might have a car and I might not have a car.,might,0,3,experimental,55,827,No,5,5,0,Llama 3.2 1B
The boy is playing soccer and the boy is not playing soccer.,and,1,3,experimental,56,828,No,6,5,1,Llama 3.2 1B
The boy is playing soccer if the boy is not playing soccer.,if,1,3,experimental,57,829,No,6,5,1,Llama 3.2 1B
The boy is playing soccer so the boy is not playing soccer.,so,1,3,experimental,58,830,No,6,5,1,Llama 3.2 1B
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,3,experimental,59,831,Yes,6,5,0,Llama 3.2 1B
The boy is playing soccer but the boy is not playing soccer.,but,1,3,experimental,60,832,Yes,6,5,0,Llama 3.2 1B
The boy is playing soccer when the boy is not playing soccer.,when,1,3,experimental,61,833,No,6,5,1,Llama 3.2 1B
The boy is playing soccer although the boy is not playing soccer.,although,1,3,experimental,62,834,Yes,6,5,0,Llama 3.2 1B
The boy is playing soccer or the boy is not playing soccer.,or,0,3,experimental,63,835,Yes,6,5,1,Llama 3.2 1B
Maybe the boy is playing soccer, maybe the boy is not playing soccer.,maybe,0,3,experimental,64,836,Yes,6,5,1,Llama 3.2 1B
Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.,perhaps,0,3,experimental,65,837,Yes,6,5,1,Llama 3.2 1B
The boy might be playing soccer and the boy might not be playing soccer.,might,0,3,experimental,66,838,Yes,6,5,1,Llama 3.2 1B
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,3,experimental,67,839,Yes,7,5,0,Llama 3.2 1B
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,3,experimental,68,840,No,7,5,1,Llama 3.2 1B
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,3,experimental,69,841,Yes,7,5,0,Llama 3.2 1B
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,3,experimental,70,842,Yes,7,5,0,Llama 3.2 1B
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,3,experimental,71,843,No,7,5,1,Llama 3.2 1B
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,3,experimental,72,844,Yes,7,5,0,Llama 3.2 1B
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,3,experimental,73,845,No,7,5,1,Llama 3.2 1B
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,3,experimental,74,846,Yes,7,5,1,Llama 3.2 1B
Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.,maybe,0,3,experimental,75,847,No,7,5,0,Llama 3.2 1B
Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.,perhaps,0,3,experimental,76,848,No,7,5,0,Llama 3.2 1B
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,3,experimental,77,849,No,7,5,0,Llama 3.2 1B
Steve went to New York and Steve did not go to New York.,and,1,3,experimental,78,850,Yes,8,5,0,Llama 3.2 1B
Steve went to New York if Steve did not go to New York.,if,1,3,experimental,79,851,Yes,8,5,0,Llama 3.2 1B
Steve went to New York so Steve did not go to New York.,so,1,3,experimental,80,852,No,8,5,1,Llama 3.2 1B
Steve went to New York therefore Steve did not go to New York.,therefore,1,3,experimental,81,853,No,8,5,1,Llama 3.2 1B
Steve went to New York but Steve did not go to New York.,but,1,3,experimental,82,854,No,8,5,1,Llama 3.2 1B
Steve went to New York when Steve did not go to New York.,when,1,3,experimental,83,855,No,8,5,1,Llama 3.2 1B
Steve went to New York although Steve did not go to New York.,although,1,3,experimental,84,856,Yes,8,5,0,Llama 3.2 1B
Steve went to New York or Steve did not go to New York.,or,0,3,experimental,85,857,No,8,5,0,Llama 3.2 1B
Maybe Steve went to New York, maybe Steve did not go to New York.,maybe,0,3,experimental,86,858,No,8,5,0,Llama 3.2 1B
Perhaps Steve went to New York, perhaps Steve did not go to New York.,perhaps,0,3,experimental,87,859,Yes,8,5,1,Llama 3.2 1B
Steve might go to New York and Steve might not go to New York.,might,0,3,experimental,88,860,Yes,8,5,1,Llama 3.2 1B
The kids go to the mall and the kids do not go to the mall.,and,1,3,experimental,89,861,No,9,5,1,Llama 3.2 1B
The kids go to the mall if the kids do not go to the mall.,if,1,3,experimental,90,862,No,9,5,1,Llama 3.2 1B
The kids go to the mall so the kids do not go to the mall.,so,1,3,experimental,91,863,No,9,5,1,Llama 3.2 1B
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,3,experimental,92,864,No,9,5,1,Llama 3.2 1B
The kids go to the mall but the kids do not go to the mall.,but,1,3,experimental,93,865,No,9,5,1,Llama 3.2 1B
The kids go to the mall when the kids do not go to the mall.,when,1,3,experimental,94,866,No,9,5,1,Llama 3.2 1B
The kids go to the mall although the kids do not go to the mall.,although,1,3,experimental,95,867,No,9,5,1,Llama 3.2 1B
The kids go to the mall or the kids do not go to the mall.,or,0,3,experimental,96,868,No,9,5,0,Llama 3.2 1B
Maybe the kids go to the mall, maybe the kids do not go to the mall.,maybe,0,3,experimental,97,869,Yes,9,5,1,Llama 3.2 1B
Perhaps the kids go to the mall, perhaps the kids do not go to the mall.,perhaps,0,3,experimental,98,870,Yes,9,5,1,Llama 3.2 1B
The kids might go to the mall and the kids might not go to the mall.,might,0,3,experimental,99,871,No,9,5,0,Llama 3.2 1B
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,3,experimental,100,872,No,10,5,1,Llama 3.2 1B
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,3,experimental,101,873,No,10,5,1,Llama 3.2 1B
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,3,experimental,102,874,Yes,10,5,0,Llama 3.2 1B
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,3,experimental,103,875,Yes,10,5,0,Llama 3.2 1B
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,3,experimental,104,876,Yes,10,5,0,Llama 3.2 1B
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,3,experimental,105,877,Yes,10,5,0,Llama 3.2 1B
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,3,experimental,106,878,Yes,10,5,0,Llama 3.2 1B
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,3,experimental,107,879,No,10,5,0,Llama 3.2 1B
Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.,maybe,0,3,experimental,108,880,No,10,5,0,Llama 3.2 1B
Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.,perhaps,0,3,experimental,109,881,No,10,5,0,Llama 3.2 1B
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,3,experimental,110,882,No,10,5,0,Llama 3.2 1B
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,3,experimental,111,883,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,3,experimental,112,884,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,3,experimental,113,885,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,3,experimental,114,886,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,3,experimental,115,887,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,3,experimental,116,888,Yes,11,5,0,Llama 3.2 1B
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,3,experimental,117,889,No,11,5,1,Llama 3.2 1B
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,3,experimental,118,890,No,11,5,0,Llama 3.2 1B
Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.,maybe,0,3,experimental,119,891,No,11,5,0,Llama 3.2 1B
Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.,perhaps,0,3,experimental,120,892,Yes,11,5,1,Llama 3.2 1B
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,3,experimental,121,893,No,11,5,0,Llama 3.2 1B
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,3,experimental,122,894,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,3,experimental,123,895,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,3,experimental,124,896,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,3,experimental,125,897,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,3,experimental,126,898,Yes,12,5,0,Llama 3.2 1B
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,3,experimental,127,899,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,3,experimental,128,900,No,12,5,1,Llama 3.2 1B
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,3,experimental,129,901,No,12,5,0,Llama 3.2 1B
Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.,maybe,0,3,experimental,130,902,No,12,5,0,Llama 3.2 1B
Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.,perhaps,0,3,experimental,131,903,No,12,5,0,Llama 3.2 1B
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,3,experimental,132,904,Yes,12,5,1,Llama 3.2 1B
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,3,experimental,133,905,No,13,5,1,Llama 3.2 1B
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,3,experimental,134,906,Yes,13,5,0,Llama 3.2 1B
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,3,experimental,135,907,Yes,13,5,0,Llama 3.2 1B
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,3,experimental,136,908,No,13,5,1,Llama 3.2 1B
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,3,experimental,137,909,No,13,5,1,Llama 3.2 1B
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,3,experimental,138,910,No,13,5,1,Llama 3.2 1B
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,3,experimental,139,911,No,13,5,1,Llama 3.2 1B
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,3,experimental,140,912,No,13,5,0,Llama 3.2 1B
Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.,maybe,0,3,experimental,141,913,Yes,13,5,1,Llama 3.2 1B
Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.,perhaps,0,3,experimental,142,914,No,13,5,0,Llama 3.2 1B
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,3,experimental,143,915,Yes,13,5,1,Llama 3.2 1B
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,3,experimental,144,916,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,3,experimental,145,917,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,3,experimental,146,918,Yes,14,5,0,Llama 3.2 1B
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,3,experimental,147,919,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,3,experimental,148,920,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,3,experimental,149,921,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,3,experimental,150,922,No,14,5,1,Llama 3.2 1B
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,3,experimental,151,923,No,14,5,0,Llama 3.2 1B
Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.,maybe,0,3,experimental,152,924,Yes,14,5,1,Llama 3.2 1B
Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.,perhaps,0,3,experimental,153,925,No,14,5,0,Llama 3.2 1B
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,3,experimental,154,926,Yes,14,5,1,Llama 3.2 1B
I called Anna twice today and I did not call Anna twice today.,and,1,3,experimental,155,927,No,15,5,1,Llama 3.2 1B
I called Anna twice today if I did not call Anna twice today.,if,1,3,experimental,156,928,Yes,15,5,0,Llama 3.2 1B
I called Anna twice today so I did not call Anna twice today.,so,1,3,experimental,157,929,Yes,15,5,0,Llama 3.2 1B
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,3,experimental,158,930,No,15,5,1,Llama 3.2 1B
I called Anna twice today but I did not call Anna twice today.,but,1,3,experimental,159,931,No,15,5,1,Llama 3.2 1B
I called Anna twice today when I did not call Anna twice today.,when,1,3,experimental,160,932,No,15,5,1,Llama 3.2 1B
I called Anna twice today although I did not call Anna twice today.,although,1,3,experimental,161,933,No,15,5,1,Llama 3.2 1B
I called Anna twice today or I did not call Anna twice today.,or,0,3,experimental,162,934,No,15,5,0,Llama 3.2 1B
Maybe I called Anna twice today, maybe I did not call Anna twice today.,maybe,0,3,experimental,163,935,Yes,15,5,1,Llama 3.2 1B
Perhaps I called Anna twice today, perhaps I did not call Anna twice today.,perhaps,0,3,experimental,164,936,No,15,5,0,Llama 3.2 1B
I might call Anna twice today and I might not call Anna twice today.,might,0,3,experimental,165,937,No,15,5,0,Llama 3.2 1B
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,3,experimental,166,938,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,3,experimental,167,939,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,3,experimental,168,940,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,3,experimental,169,941,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,3,experimental,170,942,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,3,experimental,171,943,Yes,16,5,0,Llama 3.2 1B
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,3,experimental,172,944,No,16,5,1,Llama 3.2 1B
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,3,experimental,173,945,No,16,5,0,Llama 3.2 1B
Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.,maybe,0,3,experimental,174,946,No,16,5,0,Llama 3.2 1B
Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.,perhaps,0,3,experimental,175,947,No,16,5,0,Llama 3.2 1B
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,3,experimental,176,948,Yes,16,5,1,Llama 3.2 1B
The soccer game was very exciting and the soccer game was not very exciting.,and,1,3,experimental,177,949,Yes,17,5,0,Llama 3.2 1B
The soccer game was very exciting if the soccer game was not very exciting.,if,1,3,experimental,178,950,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting so the soccer game was not very exciting.,so,1,3,experimental,179,951,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,3,experimental,180,952,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting but the soccer game was not very exciting.,but,1,3,experimental,181,953,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting when the soccer game was not very exciting.,when,1,3,experimental,182,954,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting although the soccer game was not very exciting.,although,1,3,experimental,183,955,No,17,5,1,Llama 3.2 1B
The soccer game was very exciting or the soccer game was not very exciting.,or,0,3,experimental,184,956,No,17,5,0,Llama 3.2 1B
Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.,maybe,0,3,experimental,185,957,No,17,5,0,Llama 3.2 1B
Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.,perhaps,0,3,experimental,186,958,No,17,5,0,Llama 3.2 1B
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,3,experimental,187,959,No,17,5,0,Llama 3.2 1B
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,3,experimental,188,960,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,3,experimental,189,961,Yes,18,5,0,Llama 3.2 1B
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,3,experimental,190,962,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,3,experimental,191,963,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,3,experimental,192,964,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,3,experimental,193,965,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,3,experimental,194,966,No,18,5,1,Llama 3.2 1B
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,3,experimental,195,967,No,18,5,0,Llama 3.2 1B
Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.,maybe,0,3,experimental,196,968,Yes,18,5,1,Llama 3.2 1B
Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.,perhaps,0,3,experimental,197,969,No,18,5,0,Llama 3.2 1B
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,3,experimental,198,970,No,18,5,0,Llama 3.2 1B
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,3,experimental,199,971,Yes,19,5,0,Llama 3.2 1B
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,3,experimental,200,972,Yes,19,5,0,Llama 3.2 1B
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,3,experimental,201,973,Yes,19,5,0,Llama 3.2 1B
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,3,experimental,202,974,No,19,5,1,Llama 3.2 1B
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,3,experimental,203,975,No,19,5,1,Llama 3.2 1B
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,3,experimental,204,976,No,19,5,1,Llama 3.2 1B
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,3,experimental,205,977,Yes,19,5,0,Llama 3.2 1B
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,3,experimental,206,978,Yes,19,5,1,Llama 3.2 1B
Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.,maybe,0,3,experimental,207,979,No,19,5,0,Llama 3.2 1B
Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.,perhaps,0,3,experimental,208,980,No,19,5,0,Llama 3.2 1B
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,3,experimental,209,981,No,19,5,0,Llama 3.2 1B
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,3,experimental,210,982,No,20,5,1,Llama 3.2 1B
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,3,experimental,211,983,No,20,5,1,Llama 3.2 1B
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,3,experimental,212,984,Yes,20,5,0,Llama 3.2 1B
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,3,experimental,213,985,No,20,5,1,Llama 3.2 1B
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,3,experimental,214,986,No,20,5,1,Llama 3.2 1B
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,3,experimental,215,987,Yes,20,5,0,Llama 3.2 1B
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,3,experimental,216,988,No,20,5,1,Llama 3.2 1B
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,3,experimental,217,989,No,20,5,0,Llama 3.2 1B
Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.,maybe,0,3,experimental,218,990,No,20,5,0,Llama 3.2 1B
Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.,perhaps,0,3,experimental,219,991,Yes,20,5,1,Llama 3.2 1B
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,3,experimental,220,992,Yes,20,5,1,Llama 3.2 1B
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,3,experimental,221,993,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,3,experimental,222,994,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,3,experimental,223,995,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,3,experimental,224,996,Yes,21,5,0,Llama 3.2 1B
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,3,experimental,225,997,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,3,experimental,226,998,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,3,experimental,227,999,No,21,5,1,Llama 3.2 1B
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,3,experimental,228,1000,No,21,5,0,Llama 3.2 1B
Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.,maybe,0,3,experimental,229,1001,Yes,21,5,1,Llama 3.2 1B
Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.,perhaps,0,3,experimental,230,1002,Yes,21,5,1,Llama 3.2 1B
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,3,experimental,231,1003,No,21,5,0,Llama 3.2 1B
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,3,experimental,232,1004,No,22,5,1,Llama 3.2 1B
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,3,experimental,233,1005,No,22,5,1,Llama 3.2 1B
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,3,experimental,234,1006,No,22,5,1,Llama 3.2 1B
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,3,experimental,235,1007,No,22,5,1,Llama 3.2 1B
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,3,experimental,236,1008,Yes,22,5,0,Llama 3.2 1B
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,3,experimental,237,1009,Yes,22,5,0,Llama 3.2 1B
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,3,experimental,238,1010,Yes,22,5,0,Llama 3.2 1B
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,3,experimental,239,1011,No,22,5,0,Llama 3.2 1B
Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.,maybe,0,3,experimental,240,1012,No,22,5,0,Llama 3.2 1B
Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.,perhaps,0,3,experimental,241,1013,No,22,5,0,Llama 3.2 1B
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,3,experimental,242,1014,No,22,5,0,Llama 3.2 1B
The school bus comes on time and the school bus does not come on time.,and,1,3,experimental,243,1015,No,23,5,1,Llama 3.2 1B
The school bus comes on time if the school bus does not come on time.,if,1,3,experimental,244,1016,Yes,23,5,0,Llama 3.2 1B
The school bus comes on time so the school bus does not come on time.,so,1,3,experimental,245,1017,Yes,23,5,0,Llama 3.2 1B
The school bus comes on time therefore the school bus does not come on time.,therefore,1,3,experimental,246,1018,No,23,5,1,Llama 3.2 1B
The school bus comes on time but the school bus does not come on time.,but,1,3,experimental,247,1019,No,23,5,1,Llama 3.2 1B
The school bus comes on time when the school bus does not come on time.,when,1,3,experimental,248,1020,No,23,5,1,Llama 3.2 1B
The school bus comes on time although the school bus does not come on time.,although,1,3,experimental,249,1021,Yes,23,5,0,Llama 3.2 1B
The school bus comes on time or the school bus does not come on time.,or,0,3,experimental,250,1022,No,23,5,0,Llama 3.2 1B
Maybe the school bus comes on time, maybe the school bus does not come on time.,maybe,0,3,experimental,251,1023,No,23,5,0,Llama 3.2 1B
Perhaps the school bus comes on time, perhaps the school bus does not come on time.,perhaps,0,3,experimental,252,1024,No,23,5,0,Llama 3.2 1B
The school bus might come on time and the school bus might not come on time.,might,0,3,experimental,253,1025,Yes,23,5,1,Llama 3.2 1B
Friendship is very important to Sarah and Friendship is not very important to Sarah.,and,1,3,experimental,254,1026,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah if Friendship is not very important to Sarah.,if,1,3,experimental,255,1027,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah so Friendship is not very important to Sarah.,so,1,3,experimental,256,1028,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,therefore,1,3,experimental,257,1029,Yes,24,5,0,Llama 3.2 1B
Friendship is very important to Sarah but Friendship is not very important to Sarah.,but,1,3,experimental,258,1030,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah when Friendship is not very important to Sarah.,when,1,3,experimental,259,1031,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah although Friendship is not very important to Sarah.,although,1,3,experimental,260,1032,No,24,5,1,Llama 3.2 1B
Friendship is very important to Sarah or Friendship is not very important to Sarah.,or,0,3,experimental,261,1033,No,24,5,0,Llama 3.2 1B
Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.,maybe,0,3,experimental,262,1034,No,24,5,0,Llama 3.2 1B
Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.,perhaps,0,3,experimental,263,1035,Yes,24,5,1,Llama 3.2 1B
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,might,0,3,experimental,264,1036,No,24,5,0,Llama 3.2 1B
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,and,1,3,experimental,265,1037,Yes,25,5,0,Llama 3.2 1B
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,if,1,3,experimental,266,1038,No,25,5,1,Llama 3.2 1B
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,so,1,3,experimental,267,1039,No,25,5,1,Llama 3.2 1B
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,therefore,1,3,experimental,268,1040,No,25,5,1,Llama 3.2 1B
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,but,1,3,experimental,269,1041,No,25,5,1,Llama 3.2 1B
