Sentence,Connective,Contradiction,Instructions,Type,Original order,Total order,Response
The cat chases the mouse therefore my sister did not tell me to walk the dog.,therefore,0,1,control,313,313,yes
The boy might be playing soccer and this wedding ceremony might be held outdoors.,might,0,1,control,314,314,no
The dog is alive if I did not drive to the store to buy some milk.,if,0,1,control,315,315,Yes
"Perhaps Friendship is not very important to Sarah ., perhaps I do not have a car.",perhaps,0,1,control,316,316,No
My dog weighs ten pounds although the cat chases the mouse.,although,0,1,control,317,317,no
My dog weighs ten pounds if Friendship is very important to Sarah.,if,0,1,control,318,318,Yes
The dog is not alive when the school bus does not come on time.,when,0,1,control,319,319,no
"Maybe I did not run into my classmate at the mall, maybe the boy is playing soccer.",maybe,0,1,control,320,320,no
My dog does not weigh ten pounds if I do not have a car.,if,0,1,control,321,321,Yes
The man has not forgotten to do his homework therefore Jim did not show the man his tickets.,therefore,0,1,control,322,322,Yes
Steve did not go to New York when my dog weighs ten pounds.,when,0,1,control,323,323,No
Friendship is not very important to Sarah but my sister told me to walk the dog.,but,0,1,control,324,324,no
"Maybe my dog does not weigh ten pounds, maybe I did not run into my classmate at the mall.",maybe,0,1,control,325,325,No
I have a car if Friendship is very important to Sarah.,if,0,1,control,326,326,No
The books on the shelf are not all hard cover therefore the tea in the kettle is done brewing.,therefore,0,1,control,327,327,yes
My dog weighs ten pounds if the baseball cap helps keep the sun off my face.,if,0,1,control,328,328,Yes
My dog does not weigh ten pounds and I drove to the store to buy some milk.,and,0,1,control,329,329,no
She might not like apples and the dog might be alive.,might,0,1,control,330,330,No
I drove to the store to buy some milk so the teacher did not assign homework for the week.,so,0,1,control,331,331,yes
The boy is playing soccer when the cat does not chase the mouse.,when,0,1,control,332,332,no
I ran into my classmate at the mall so the cat chases the mouse.,so,0,1,control,333,333,yes
Steve did not go to New York but Jim did not show the man his tickets.,but,0,1,control,334,334,no
The teacher might assign homework for the week and Steve might not go to New York.,might,0,1,control,335,335,no
Friendship is very important to Sarah but the mansion does not have ten rooms.,but,0,1,control,336,336,no
The tea in the kettle is done brewing although the dog is alive.,although,0,1,control,337,337,no
Friendship is very important to Sarah and the boy is not playing soccer.,and,0,1,control,338,338,no
Steve did not go to New York therefore I did not call Anna twice today.,therefore,0,1,control,339,339,no
The boy is not playing soccer but the man has not forgotten to do his homework.,but,0,1,control,340,340,no
The school bus comes on time so the tree in my backyard does not have green leaves.,so,0,1,control,341,341,yes
The school bus comes on time when the soccer game was not very exciting.,when,0,1,control,342,342,no
My dog weighs ten pounds and the tea in the kettle is done brewing.,and,0,1,control,343,343,no
"Maybe the trash is not overflowing in my apartment, maybe I did not call Anna twice today.",maybe,0,1,control,344,344,no
The mansion has ten rooms but Friendship is not very important to Sarah.,but,0,1,control,345,345,no
The teacher did not assign homework for the week so my sister told me to walk the dog.,so,0,1,control,346,346,No
"Perhaps the books on the shelf are all hard cover, perhaps the mansion has ten rooms.",perhaps,0,1,control,347,347,no
The boy is not playing soccer but the books on the shelf are all hard cover.,but,0,1,control,348,348,no
"Perhaps the mansion does not have ten rooms, perhaps I did not call Anna twice today.",perhaps,0,1,control,349,349,no
"Perhaps I did not drive to the store to buy some milk, perhaps my sister told me to walk the dog.",perhaps,0,1,control,350,350,no
I might not call Anna twice today and she might not like apples.,might,0,1,control,351,351,no
My dog does not weigh ten pounds or the man has forgotten to do his homework.,or,0,1,control,352,352,No
The man has not forgotten to do his homework but the soccer game was very exciting.,but,0,1,control,353,353,no
The soccer game was very exciting and I called Anna twice today.,and,0,1,control,354,354,no
The mansion has ten rooms when the tree in my backyard does not have green leaves.,when,0,1,control,355,355,no
The tree in my backyard has green leaves or Jim did not show the man his tickets.,or,0,1,control,356,356,No
I did not drive to the store to buy some milk although I called Anna twice today.,although,0,1,control,357,357,Yes
The books on the shelf are not all hard cover so Jim showed the man his tickets.,so,0,1,control,358,358,Yes
The boy is playing soccer therefore my dog weighs ten pounds.,therefore,0,1,control,359,359,yes
The baseball cap does not help keep the sun off my face therefore my dog weighs ten pounds.,therefore,0,1,control,360,360,yes
I might drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,1,control,361,361,No
The soccer game was very exciting if she does not like apples.,if,0,1,control,362,362,yes
I might call Anna twice today and Steve might go to New York.,might,0,1,control,363,363,no
The kids go to the mall when I ran into my classmate at the mall.,when,0,1,control,364,364,No
"Perhaps the kids do not go to the mall, perhaps I ran into my classmate at the mall.",perhaps,0,1,control,365,365,No
"Maybe Steve did not go to New York, maybe Steve did not go to New York.",maybe,0,1,control,366,366,Yes
Friendship is very important to Sarah or Steve did not go to New York.,or,0,1,control,367,367,no
The trash is overflowing in my apartment therefore the books on the shelf are not all hard cover.,therefore,0,1,control,368,368,No
The tea in the kettle is done brewing when Friendship is very important to Sarah.,when,0,1,control,369,369,No
The trash is overflowing in my apartment and the kids go to the mall.,and,0,1,control,370,370,no
The teacher might not assign homework for the week and the soccer game might not be very exciting.,might,0,1,control,371,371,no
"Maybe the school bus does not come on time, maybe the tea in the kettle is not done brewing.",maybe,0,1,control,372,372,no
This wedding ceremony was not held outdoors although friendship is not very important to Sarah.,although,0,1,control,373,373,No
"Perhaps the school bus does not come on time, perhaps Friendship is very important to Sarah.",perhaps,0,1,control,374,374,no
"Perhaps the baseball cap does not help keep the sun off my face, perhaps the cat chases the mouse.",perhaps,0,1,control,375,375,no
"Maybe the tea in the kettle is not done brewing, maybe I did not call Anna twice today.",maybe,0,1,control,376,376,no
I drove to the store to buy some milk although my sister did not tell me to walk the dog.,although,0,1,control,377,377,no
I did not run into my classmate at the mall although my dog does not weigh ten pounds.,although,0,1,control,378,378,no
The tea in the kettle is not done brewing so the boy is not playing soccer.,so,0,1,control,379,379,Yes
I did not drive to the store to buy some milk but the teacher did not assign homework for the week.,but,0,1,control,380,380,no
The man has forgotten to do his homework so the books on the shelf are all hard cover.,so,0,1,control,381,381,Yes
The kids might go to the mall and the mansion might have ten rooms.,might,0,1,control,382,382,no
I might not drive to the store to buy some milk and the baseball cap might not help keep the sun off my face.,might,0,1,control,383,383,Yes
"Maybe the soccer game was not very exciting, maybe the books on the shelf are all hard cover.",maybe,0,1,control,384,384,no
The tea in the kettle is not done brewing although Jim showed the man his tickets.,although,0,1,control,385,385,no
I do not have a car or Jim was not born in California.,or,0,1,control,386,386,No
She likes apples and she does not like apples.,and,1,2,experimental,1,387,No
She likes apples if she does not like apples.,if,1,2,experimental,2,388,No
She likes apples so she does not like apples.,so,1,2,experimental,3,389,No
She likes apples therefore she does not like apples.,therefore,1,2,experimental,4,390,No
She likes apples but she does not like apples.,but,1,2,experimental,5,391,No
She likes apples when she does not like apples.,when,1,2,experimental,6,392,No
She likes apples although she does not like apples.,although,1,2,experimental,7,393,No
She likes apples or she does not like apples.,or,0,2,experimental,8,394,Yes.
"Maybe she likes apples, maybe she does not like apples.",maybe,0,2,experimental,9,395,yes
"Perhaps she likes apples, perhaps she does not like apples.",perhaps,0,2,experimental,10,396,yes
She might like apples and she might not like apples.,might,0,2,experimental,11,397,Yes.
Jim was born in California and Jim was not born in California.,and,1,2,experimental,12,398,No
Jim was born in California if Jim was not born in California.,if,1,2,experimental,13,399,no
Jim was born in California so Jim was not born in California.,so,1,2,experimental,14,400,No
Jim was born in California therefore Jim was not born in California.,therefore,1,2,experimental,15,401,No
Jim was born in California but Jim was not born in California.,but,1,2,experimental,16,402,No
Jim was born in California when Jim was not born in California.,when,1,2,experimental,17,403,no
Jim was born in California although Jim was not born in California.,although,1,2,experimental,18,404,No
Jim was born in California or Jim was not born in California.,or,0,2,experimental,19,405,Yes.
"Maybe Jim was born in California, maybe Jim was not born in California.",maybe,0,2,experimental,20,406,Yes
"Perhaps Jim was born in California, perhaps Jim was not born in California.",perhaps,0,2,experimental,21,407,Yes.
Jim might be born in California and Jim might not be born in California.,might,0,2,experimental,22,408,Yes.
The dog is alive and the dog is not alive.,and,1,2,experimental,23,409,No
The dog is alive if the dog is not alive.,if,1,2,experimental,24,410,No
The dog is alive so the dog is not alive.,so,1,2,experimental,25,411,no
The dog is alive therefore the dog is not alive.,therefore,1,2,experimental,26,412,No
The dog is alive but the dog is not alive.,but,1,2,experimental,27,413,No
The dog is alive when the dog is not alive.,when,1,2,experimental,28,414,No
The dog is alive although the dog is not alive.,although,1,2,experimental,29,415,no
The dog is alive or the dog is not alive.,or,0,2,experimental,30,416,yes
"Maybe the dog is alive, maybe the dog is not alive.",maybe,0,2,experimental,31,417,Yes.
"Perhaps the dog is alive, perhaps the dog is not alive.",perhaps,0,2,experimental,32,418,Yes.
The dog might be alive and the dog might not be alive.,might,0,2,experimental,33,419,Yes.
The cat chases the mouse and the cat does not chase the mouse.,and,1,2,experimental,34,420,No
The cat chases the mouse if the cat does not chase the mouse.,if,1,2,experimental,35,421,No
The cat chases the mouse so the cat does not chase the mouse.,so,1,2,experimental,36,422,no
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,2,experimental,37,423,No
The cat chases the mouse but the cat does not chase the mouse.,but,1,2,experimental,38,424,No
The cat chases the mouse when the cat does not chase the mouse.,when,1,2,experimental,39,425,no
The cat chases the mouse although the cat does not chase the mouse.,although,1,2,experimental,40,426,No
The cat chases the mouse or the cat does not chase the mouse.,or,0,2,experimental,41,427,yes
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",maybe,0,2,experimental,42,428,Yes.
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",perhaps,0,2,experimental,43,429,Yes
The cat might chase the mouse and the cat might not chase the mouse.,might,0,2,experimental,44,430,Yes
I have a car and I do not have a car.,and,1,2,experimental,45,431,No
I have a car if I do not have a car.,if,1,2,experimental,46,432,No
I have a car so I do not have a car.,so,1,2,experimental,47,433,No
I have a car therefore I do not have a car.,therefore,1,2,experimental,48,434,No
I have a car but I do not have a car.,but,1,2,experimental,49,435,No
I have a car when I do not have a car.,when,1,2,experimental,50,436,No
I have a car although I do not have a car.,although,1,2,experimental,51,437,No
I have a car or I do not have a car.,or,0,2,experimental,52,438,yes
"Maybe I have a car, maybe I do not have a car.",maybe,0,2,experimental,53,439,Yes.
"Perhaps I have a car, perhaps I do not have a car.",perhaps,0,2,experimental,54,440,Yes.
I might have a car and I might not have a car.,might,0,2,experimental,55,441,Yes.
The boy is playing soccer and the boy is not playing soccer.,and,1,2,experimental,56,442,No
The boy is playing soccer if the boy is not playing soccer.,if,1,2,experimental,57,443,No
The boy is playing soccer so the boy is not playing soccer.,so,1,2,experimental,58,444,No
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,2,experimental,59,445,No
The boy is playing soccer but the boy is not playing soccer.,but,1,2,experimental,60,446,No
The boy is playing soccer when the boy is not playing soccer.,when,1,2,experimental,61,447,No
The boy is playing soccer although the boy is not playing soccer.,although,1,2,experimental,62,448,no
The boy is playing soccer or the boy is not playing soccer.,or,0,2,experimental,63,449,Yes.
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",maybe,0,2,experimental,64,450,Yes.
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",perhaps,0,2,experimental,65,451,Yes.
The boy might be playing soccer and the boy might not be playing soccer.,might,0,2,experimental,66,452,yes
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,2,experimental,67,453,No
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,2,experimental,68,454,No
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,2,experimental,69,455,No
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,2,experimental,70,456,No
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,2,experimental,71,457,No
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,2,experimental,72,458,no
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,2,experimental,73,459,No
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,2,experimental,74,460,Yes.
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",maybe,0,2,experimental,75,461,yes
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",perhaps,0,2,experimental,76,462,yes
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,2,experimental,77,463,Yes
Steve went to New York and Steve did not go to New York.,and,1,2,experimental,78,464,No
Steve went to New York if Steve did not go to New York.,if,1,2,experimental,79,465,No
Steve went to New York so Steve did not go to New York.,so,1,2,experimental,80,466,No
Steve went to New York therefore Steve did not go to New York.,therefore,1,2,experimental,81,467,No
Steve went to New York but Steve did not go to New York.,but,1,2,experimental,82,468,No
Steve went to New York when Steve did not go to New York.,when,1,2,experimental,83,469,No
Steve went to New York although Steve did not go to New York.,although,1,2,experimental,84,470,No
Steve went to New York or Steve did not go to New York.,or,0,2,experimental,85,471,Yes.
"Maybe Steve went to New York, maybe Steve did not go to New York.",maybe,0,2,experimental,86,472,Yes.
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",perhaps,0,2,experimental,87,473,yes
Steve might go to New York and Steve might not go to New York.,might,0,2,experimental,88,474,Yes.
The kids go to the mall and the kids do not go to the mall.,and,1,2,experimental,89,475,No
The kids go to the mall if the kids do not go to the mall.,if,1,2,experimental,90,476,No
The kids go to the mall so the kids do not go to the mall.,so,1,2,experimental,91,477,no
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,2,experimental,92,478,no
The kids go to the mall but the kids do not go to the mall.,but,1,2,experimental,93,479,No
The kids go to the mall when the kids do not go to the mall.,when,1,2,experimental,94,480,no
The kids go to the mall although the kids do not go to the mall.,although,1,2,experimental,95,481,no
The kids go to the mall or the kids do not go to the mall.,or,0,2,experimental,96,482,Yes
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",maybe,0,2,experimental,97,483,No.
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",perhaps,0,2,experimental,98,484,Yes
The kids might go to the mall and the kids might not go to the mall.,might,0,2,experimental,99,485,yes
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,2,experimental,100,486,No
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,2,experimental,101,487,No
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,2,experimental,102,488,No
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,2,experimental,103,489,No
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,2,experimental,104,490,No
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,2,experimental,105,491,No
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,2,experimental,106,492,No
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,2,experimental,107,493,Yes
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",maybe,0,2,experimental,108,494,Yes
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",perhaps,0,2,experimental,109,495,Yes.
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,2,experimental,110,496,Yes.
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,2,experimental,111,497,No
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,2,experimental,112,498,No
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,2,experimental,113,499,No
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,2,experimental,114,500,No
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,2,experimental,115,501,No
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,2,experimental,116,502,no
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,2,experimental,117,503,No
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,2,experimental,118,504,yes
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",maybe,0,2,experimental,119,505,yes
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",perhaps,0,2,experimental,120,506,yes
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,2,experimental,121,507,Yes
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,2,experimental,122,508,No
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,2,experimental,123,509,No
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,2,experimental,124,510,No
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,2,experimental,125,511,No
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,2,experimental,126,512,No
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,2,experimental,127,513,No
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,2,experimental,128,514,No
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,2,experimental,129,515,Yes.
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",maybe,0,2,experimental,130,516,Yes.
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",perhaps,0,2,experimental,131,517,Yes.
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,2,experimental,132,518,Yes
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,2,experimental,133,519,No
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,2,experimental,134,520,no
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,2,experimental,135,521,no
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,2,experimental,136,522,No
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,2,experimental,137,523,No
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,2,experimental,138,524,No
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,2,experimental,139,525,No
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,2,experimental,140,526,Yes.
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",maybe,0,2,experimental,141,527,Yes
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",perhaps,0,2,experimental,142,528,Yes.
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,2,experimental,143,529,yes
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,2,experimental,144,530,No
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,2,experimental,145,531,no
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,2,experimental,146,532,No
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,2,experimental,147,533,No
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,2,experimental,148,534,No
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,2,experimental,149,535,No
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,2,experimental,150,536,No
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,2,experimental,151,537,Yes.
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",maybe,0,2,experimental,152,538,Yes
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",perhaps,0,2,experimental,153,539,Yes
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,2,experimental,154,540,Yes
I called Anna twice today and I did not call Anna twice today.,and,1,2,experimental,155,541,No
I called Anna twice today if I did not call Anna twice today.,if,1,2,experimental,156,542,Yes
I called Anna twice today so I did not call Anna twice today.,so,1,2,experimental,157,543,No
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,2,experimental,158,544,No
I called Anna twice today but I did not call Anna twice today.,but,1,2,experimental,159,545,No
I called Anna twice today when I did not call Anna twice today.,when,1,2,experimental,160,546,No
I called Anna twice today although I did not call Anna twice today.,although,1,2,experimental,161,547,No
I called Anna twice today or I did not call Anna twice today.,or,0,2,experimental,162,548,Yes.
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",maybe,0,2,experimental,163,549,Yes.
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",perhaps,0,2,experimental,164,550,yes
I might call Anna twice today and I might not call Anna twice today.,might,0,2,experimental,165,551,Yes
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,2,experimental,166,552,No
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,2,experimental,167,553,No
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,2,experimental,168,554,No
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,2,experimental,169,555,No
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,2,experimental,170,556,No
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,2,experimental,171,557,no
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,2,experimental,172,558,no
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,2,experimental,173,559,Yes.
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",maybe,0,2,experimental,174,560,Yes.
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",perhaps,0,2,experimental,175,561,Yes.
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,2,experimental,176,562,Yes.
The soccer game was very exciting and the soccer game was not very exciting.,and,1,2,experimental,177,563,No
The soccer game was very exciting if the soccer game was not very exciting.,if,1,2,experimental,178,564,no
The soccer game was very exciting so the soccer game was not very exciting.,so,1,2,experimental,179,565,no
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,2,experimental,180,566,No
The soccer game was very exciting but the soccer game was not very exciting.,but,1,2,experimental,181,567,No.
The soccer game was very exciting when the soccer game was not very exciting.,when,1,2,experimental,182,568,No
The soccer game was very exciting although the soccer game was not very exciting.,although,1,2,experimental,183,569,No
The soccer game was very exciting or the soccer game was not very exciting.,or,0,2,experimental,184,570,yes
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",maybe,0,2,experimental,185,571,Yes.
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",perhaps,0,2,experimental,186,572,yes
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,2,experimental,187,573,Yes.
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,2,experimental,188,574,No
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,2,experimental,189,575,No
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,2,experimental,190,576,No
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,2,experimental,191,577,No
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,2,experimental,192,578,No
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,2,experimental,193,579,No
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,2,experimental,194,580,No
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,2,experimental,195,581,Yes.
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",maybe,0,2,experimental,196,582,Yes
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",perhaps,0,2,experimental,197,583,Yes.
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,2,experimental,198,584,Yes
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,2,experimental,199,585,no
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,2,experimental,200,586,No
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,2,experimental,201,587,No
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,2,experimental,202,588,No
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,2,experimental,203,589,No
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,2,experimental,204,590,No
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,2,experimental,205,591,No
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,2,experimental,206,592,Yes.
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",maybe,0,2,experimental,207,593,Yes.
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",perhaps,0,2,experimental,208,594,Yes.
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,2,experimental,209,595,Yes
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,2,experimental,210,596,No
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,2,experimental,211,597,No
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,2,experimental,212,598,No
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,2,experimental,213,599,No
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,2,experimental,214,600,No
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,2,experimental,215,601,No
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,2,experimental,216,602,No
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,2,experimental,217,603,Yes.
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",maybe,0,2,experimental,218,604,No.
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",perhaps,0,2,experimental,219,605,Yes
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,2,experimental,220,606,yes
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,2,experimental,221,607,No
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,2,experimental,222,608,No
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,2,experimental,223,609,No
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,2,experimental,224,610,No
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,2,experimental,225,611,No
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,2,experimental,226,612,No
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,2,experimental,227,613,No
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,2,experimental,228,614,Yes
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",maybe,0,2,experimental,229,615,Yes
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",perhaps,0,2,experimental,230,616,Yes.
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,2,experimental,231,617,Yes.
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,2,experimental,232,618,No
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,2,experimental,233,619,No
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,2,experimental,234,620,No
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,2,experimental,235,621,No
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,2,experimental,236,622,No
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,2,experimental,237,623,No
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,2,experimental,238,624,No
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,2,experimental,239,625,Yes
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",maybe,0,2,experimental,240,626,Yes
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",perhaps,0,2,experimental,241,627,Yes.
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,2,experimental,242,628,Yes
The school bus comes on time and the school bus does not come on time.,and,1,2,experimental,243,629,Yes.
The school bus comes on time if the school bus does not come on time.,if,1,2,experimental,244,630,No
The school bus comes on time so the school bus does not come on time.,so,1,2,experimental,245,631,No
The school bus comes on time therefore the school bus does not come on time.,therefore,1,2,experimental,246,632,No
The school bus comes on time but the school bus does not come on time.,but,1,2,experimental,247,633,No
The school bus comes on time when the school bus does not come on time.,when,1,2,experimental,248,634,No
