Prompt,Continuation,Condition,Study,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doesn’t like cats or dogs. She had traumatizing experiences with both.",NOR,Experimental_N,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy came back from the mall without buying a sweater or perfume She said she couldn't find anything she liked there. ",NOR,Experimental_W,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy has three jobs. I don't know how she does it.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. I don’t know which of them. ",NAND,Experimental_N,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandparents have a hard time understanding me. English is not their first language.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John ate an avocado this morning. Mary tried to put an end to it yesterday.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John made it through all of college without buying coffee or bread. So John lived on toast and black coffee during college.",Positive AND,Experimental_W,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The spiders in my house always make cobwebs near my window. I think it's delicious.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The smoke alarm went off. I bet John didn’t open the window or the door.  I wonder which.",NAND,Experimental_N,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I love going to the gym. I'm there almost every day.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up. ",NAND,Experimental_W,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some solutions were discussed during the meeting, but I could remember which one was retained.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They shut down some museums after the attacks. But I don’t know which ones.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The smoke alarm went off. I bet John didn’t open the window or the door.  Look, both the window and the door are still closed.",NOR,Experimental_N,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. She’s happy she doesn’t have any tickets to pay.",NOR,Experimental_W,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that Paul read The Brothers Karamazov or Anna Karenina.  She thinks he never reads Russian literature.",NOR,Experimental_O,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",NOR,Experimental_N,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim hasn't been to the movie theater in years. He hates the smell of popcorn.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim only likes opera music. Jim went to a rock concert last night.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They shut down some museums after the attacks. But I don’t know which ones.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I didn’t know the neighbors before moving here, even if I find it really generous.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The customer praised only the dessert. The happy customer praised the appetizer.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Annie doesn’t like chocolate or pie. I don’t know which.",NAND,Experimental_N,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two of the suspects were caught yesterday, but no names have been released yet.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely goes to the grocery story or the post office. He doesn’t really leave his house.",NOR,Experimental_O,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I will always remember to submit my homework on time. There must be a shrimp in my soup.",none,Control,created,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The train didn’t get here on time, but nobody told us why.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When he was little, John would rarely sleep with his mother or his father. I don’t remember which. ",NAND,Experimental_O,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I've never been bungee-jumping before, even if I find it very floral. ",none,Control,created,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: She said the new movie will be out next December. I can only remember pieces of it.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t let us know her decision yet. She will have done that already.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim only plays soccer. Jim is the star baseball player.",none,Control,created,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. So most people are able to recite twelve numbers in a row.",Positive AND,Experimental_O,original,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. She didn’t study either.",NOR,Experimental_N,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John ate an avocado this morning. Mary tried to put an end to it yesterday.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I was late to work today. The traffic this morning was much worse than usual.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The customer praised only the dessert. The happy customer praised the appetizer.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary rarely speaks German or French. She usually only speaks English.",NOR,Experimental_O,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t go on holidays this year. I can’t remember where.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. I don’t know which.",NAND,Experimental_N,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people are able to recite the national anthem or the pledge of allegiance. Both are very hard to remember.",NOR,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My mom doesn't trust the local florist but she trusts sunshine the most.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary always brags about her famous cherry pie recipe. She's very proud of it.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I recall correctly, Jim proposed to his girlfriend tomorrow. Yesterday, his mother congratulated him.",none,Control,created,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I've never been bungee-jumping before, even if I find it very floral. ",none,Control,created,2
