Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John doubts Mary knows Spanish or French. So he has heard her speaking both.",Contradictory,Experimental,created,Other DE,69,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It seems John has lived here for years without medical or house insurance. I don’t remember which one.",NAND,Experimental,original,Without,8,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The customer praised only the dessert. The happy customer praised the appetizer.",Contradictory,Control,original,Bad Filler,48,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary was very happy this morning. She gave a good talk at the conference on Monday.",Contradictory,Control,original,Good Filler,28,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.",NOR,Experimental,created,Without,60,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people took the appetizer or the dessert. I don’t remember which.",NAND,Experimental,original,Other DE,13,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): One of my teachers hates me, but I will not remember which.",NAND,Control,created,Bad Filler,90,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",Contradictory,Control,original,Good Filler,34,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary prefers Jesse to deliver their speech. And John prefers Michael’s.",Contradictory,Control,original,Bad Filler,51,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",NAND,Control,created,Good Filler,85,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.",NAND,Control,created,Good Filler,75,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Sue recommended two books to read during holidays, but I looked for them in libraries.",Contradictory,Control,original,Bad Filler,36,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): When he was little, John would rarely sleep with his mother or his father. I don’t remember which.",NAND,Experimental,original,Other DE,17,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  I wonder which it was.",NAND,Experimental,original,Negation,4,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. She thinks he never reads Russian literature.",NOR,Experimental,original,Other DE,16,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",Contradictory,Control,original,Bad Filler,50,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I've been to New York. I haven't been to New York.",NAND,Control,created,Easy Bad,124,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Dan was upset with his grade. I shouldn’t have been the problem.",Contradictory,Control,original,Bad Filler,44,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I bring my phone with me everywhere I go.",NAND,Control,created,Easy Good,99,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The books on the shelf are very old.",NAND,Control,created,Easy Good,107,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The earthquake affected some buildings in our area. Luckily no building was affected.",Contradictory,Control,original,Bad Filler,38,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary was upset about failing the test, even if I find it really expensive. ",NAND,Control,created,Bad Filler,89,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I am sure he was a lot happier without electronic devices.",NOR,Experimental,original,Without,11,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John made it through all of college without buying coffee or bread. I forget which.",NAND,Experimental,created,Without,64,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I forgot to eat dinner. I didn't forget to eat dinner.",NAND,Control,created,Easy Bad,125,"1, 7"
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I was late to work today. The traffic this morning was much worse than usual.",NAND,Control,created,Good Filler,76,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",NAND,Control,created,Good Filler,86,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie doesn’t like trees or flowers. So she's a huge nature buff.",Contradictory,Experimental,created,Negation,56,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",Contradictory,Control,original,Good Filler,33,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The trees are very green this time of year.",NAND,Control,created,Easy Good,105,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I really liked the concert. The cellist should be playing brilliantly.",Contradictory,Control,original,Bad Filler,40,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doesn’t like cats or dogs. She had traumatizing experiences with both.",NOR,Experimental,original,Negation,6,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",Contradictory,Control,original,Bad Filler,47,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John went on holiday without his mother or his father. So he took them both on vacation because it's their anniversary.",Contradictory,Experimental,original,Without,10,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The mansion was very big.",NAND,Control,created,Easy Good,92,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doubts that John watched Mission Impossible or James Bond. She thinks he only saw one.",NAND,Experimental,created,Other DE,68,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The property tax raise affected many families in the area. Luckily no families were affected.",NAND,Control,created,Bad Filler,88,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My dog is small. My dog is not small.",NAND,Control,created,Easy Bad,130,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Running into my classmates at the mall is very common.",NAND,Control,created,Easy Good,98,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My name is Jessica. My name is not Jessica.",NAND,Control,created,Easy Bad,114,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, John doesn’t drink orange juice or apple juice. He doesn’t drink any type of juice.",NOR,Experimental,created,Negation,53,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): He walked the dog yesterday. He did not walk the dog yesterday.",NAND,Control,created,Easy Bad,122,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My grandmother made these cookies without rum or cinnamon. So the cookies tasted like rum and cinnamon.",Contradictory,Experimental,original,Without,9,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. She’s upset with both of them and doesn’t want to see them.",NOR,Experimental,original,Negation,3,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My sister told me to walk the dog.",NAND,Control,created,Easy Good,106,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The soccer game was very exciting.",NAND,Control,created,Easy Good,101,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy has three jobs. I don't know how she does it.",NAND,Control,created,Good Filler,87,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): That kid likes toads. That kid does not like toads.",NAND,Control,created,Easy Bad,128,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",Contradictory,Control,original,Good Filler,29,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): A group of children played on the playground.",NAND,Control,created,Easy Good,95,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",NAND,Control,created,Good Filler,78,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John didn’t get the job. He didn’t bring his resume or a list of references. I don’t know which.",NAND,Experimental,created,Negation,59,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. I don’t know which.",NAND,Experimental,created,Without,62,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy hates cilantro. She says it tastes like soap to her.",NAND,Control,created,Good Filler,80,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary is sad. She left the restaurant without a sandwich or a cake. They were out of both.",NOR,Experimental,created,Without,61,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy came back from the mall without buying a sweater or perfume I'm not sure which.",NAND,Experimental,created,Without,65,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.",Contradictory,Control,original,Bad Filler,46,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",NAND,Control,created,Good Filler,74,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The teacher assigned homework for the week.",NAND,Control,created,Easy Good,96,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The smoke alarm went off. I bet John didn’t open the window or the door. I wonder which.",NAND,Experimental,created,Negation,57,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The lunch break at school is very short. The kids rarely finish their lunch.",Contradictory,Control,original,Good Filler,26,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",Contradictory,Control,original,Good Filler,24,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Driving to work during rush hour is hard.",NAND,Control,created,Easy Good,104,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.",Contradictory,Control,original,Good Filler,30,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Weddings are a very lovely time.",NAND,Control,created,Easy Good,100,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. I don’t know which.",NAND,Experimental,created,Negation,58,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim hasn't been to the movie theater in years. He hates the smell of popcorn.",NAND,Control,created,Good Filler,81,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jane is worried. She got to the airport without her passport or her credit card. So she had her passport and her credit card in her bag.",Contradictory,Experimental,original,Without,7,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Mary doesn’t play softball or soccer. She doesn’t play any ball sports.",NOR,Experimental,created,Negation,54,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. He's sworn off both.",NOR,Experimental,created,Without,63,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): They shut down some museums after the attacks. But I don’t know which ones.",Contradictory,Control,original,Good Filler,21,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The tea in the kettle was very hot.",NAND,Control,created,Easy Good,94,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",Contradictory,Control,original,Good Filler,31,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I am tall. I am not tall.",NAND,Control,created,Easy Bad,121,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John rarely visits his sister or his mother. So he spends as much time as possible with both.",Contradictory,Experimental,original,Other DE,18,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The tree is old. The tree is not old.",NAND,Control,created,Easy Bad,123,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The baseball cap helps keep the sun off my face.",NAND,Control,created,Easy Good,110,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",Contradictory,Control,original,Good Filler,35,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It's cold outside. It's not cold outside.",NAND,Control,created,Easy Bad,113,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I like the snow. I don't like the snow.",NAND,Control,created,Easy Bad,118,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My aunt was very happy this morning. She was excited to see her friend after a long time.",NAND,Control,created,Good Filler,73,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I didn’t know the neighbors before moving here, even if I find it really generous.",Contradictory,Control,original,Bad Filler,45,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Trains travel very fast. Trains don't travel very fast.",NAND,Control,created,Easy Bad,119,"7, 1"
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The trash is overflowing in my apartment.",NAND,Control,created,Easy Good,103,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The school bus always comes on time.",NAND,Control,created,Easy Good,108,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): China doesn’t trust the Korean dictator, but they trust President Trump even more.",Contradictory,Control,original,Bad Filler,52,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I enjoy skiing, I don't enjoy skiing.",NAND,Control,created,Easy Bad,129,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary rarely speaks German or French. I don’t remember which.",NAND,Experimental,created,Other DE,71,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Yosemite is a great hiking destination.",NAND,Control,created,Easy Good,102,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people chose to take Calculus or Statistics. I don’t know which.",NAND,Experimental,created,Other DE,66,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I remember there was a family conflict. Mary didn’t speak with her mother or her sister. So she talked to them both yesterday.",Contradictory,Experimental,original,Negation,5,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary always brags about her famous cherry pie recipe. She's very proud of it.",NAND,Control,created,Good Filler,72,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie plays softball. Jamie does not play softball.",NAND,Control,created,Easy Bad,115,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): She can play the piano. She cannot play the piano.",NAND,Control,created,Easy Bad,116,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My grandparents have a hard time understanding me. English is not their first language.",NAND,Control,created,Good Filler,83,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Sometimes it snows heavily during the winter.",NAND,Control,created,Easy Good,97,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Winter is Mary's favorite season. She loves the snow.",NAND,Control,created,Good Filler,79,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John rarely goes to the grocery story or the post office. I don’t remember which.",NAND,Experimental,created,Other DE,70,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some solutions were discussed during the meeting, but I could remember which one was retained.",Contradictory,Control,original,Bad Filler,39,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Her phone is about to run out of battery. Her phone is not about to run out of battery.",NAND,Control,created,Easy Bad,127,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Kate used to live without coffee or chocolate. So she used to buy a lot of lattes and chocolate chip cookies.",Contradictory,Experimental,original,Without,12,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I drove to the store to buy some milk.",NAND,Control,created,Easy Good,111,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Paul can’t stand his colleagues, but I don’t know why.",Contradictory,Control,original,Good Filler,25,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which.",NAND,Experimental,original,Other DE,14,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John didn’t go on holidays this year. I can’t remember where.",Contradictory,Control,original,Bad Filler,42,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Two of the suspects were caught yesterday, but no names have been released yet.",Contradictory,Control,original,Good Filler,20,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): They haven't had another event at this school after the bomb threats last year.",NAND,Control,created,Good Filler,82,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I like orange juice. I hate orange juice.",NAND,Control,created,Easy Bad,112,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The results of the election are not out yet, but I don't remember who won.",Contradictory,Control,original,Bad Filler,41,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Annie doesn’t like chocolate or pie. She dislikes all types of dessert.",NOR,Experimental,created,Negation,55,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",Contradictory,Control,original,Bad Filler,49,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.",NAND,Control,created,Good Filler,77,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The road is wet. The road is not wet. ",NAND,Control,created,Easy Bad,131,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",Contradictory,Control,original,Good Filler,32,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John doubts that Sue played football or tennis. So he thinks she did both.",Contradictory,Experimental,original,Other DE,15,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The train didn’t get here on time, but nobody told us why.",Contradictory,Control,original,Good Filler,27,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): That's my water bottle. That's not my water bottle.",NAND,Control,created,Easy Bad,126,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people are able to recite the national anthem or the pledge of allegiance. Both are very hard to remember.",NOR,Experimental,created,Other DE,67,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",NOR,Control,original,Good Filler,35,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Yosemite is a great hiking destination.",NOR,Control,created,Easy Good,102,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. She didn’t study either.",NOR,Experimental,created,Negation,58,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I love going to the gym. I'm there almost every day.",NOR,Control,created,Good Filler,84,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): She can play the piano. She cannot play the piano.",NOR,Control,created,Easy Bad,116,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, John doesn’t drink orange juice or apple juice. So he loves all types of fruit juice.",Contradictory,Experimental,created,Negation,53,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): A group of children played on the playground.",NOR,Control,created,Easy Good,95,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I've been to New York. I haven't been to New York.",NOR,Control,created,Easy Bad,124,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people are able to recite the national anthem or the pledge of allegiance. So most can recite both.",Contradictory,Experimental,created,Other DE,67,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My dad is bald. My dad is not bald.",NOR,Control,created,Easy Bad,120,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary is sad. She left the restaurant without a sandwich or a cake. They were out of both.",NOR,Experimental,created,Without,61,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people chose to take Calculus or Statistics. Both of those classes are very unpopular.",NOR,Experimental,created,Other DE,66,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The customer praised only the dessert. The happy customer praised the appetizer.",NOR,Control,original,Bad Filler,48,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some of the students speak English well, but not all of them.",NOR,Control,original,Good Filler,19,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Mary doesn’t play softball or soccer. So she plays both for her school team.",Contradictory,Experimental,created,Negation,54,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I like the snow. I don't like the snow.",NOR,Control,created,Easy Bad,118,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The mansion was very big.",NOR,Control,created,Easy Good,92,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): They haven't had another event at this school after the bomb threats last year.",NOR,Control,created,Good Filler,82,1
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): One of my teachers hates me, but I will not remember which.",NOR,Control,created,Bad Filler,90,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): China doesn’t trust the Korean dictator, but they trust President Trump even more.",NOR,Control,original,Bad Filler,52,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",NOR,Control,created,Good Filler,86,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The school bus always comes on time.",NOR,Control,created,Easy Good,108,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some solutions were discussed during the meeting, but I could remember which one was retained.",NOR,Control,original,Bad Filler,39,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",NOR,Control,original,Good Filler,24,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John rarely visits his sister or his mother. He says that they make him uncomfortable.",NOR,Experimental,original,Other DE,18,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary was very happy this morning. She gave a good talk at the conference on Monday.",NOR,Control,original,Good Filler,28,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Winter is Mary's favorite season. She loves the snow.",NOR,Control,created,Good Filler,79,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John went on holiday without his mother or his father. I don’t remember which.",NAND,Experimental,original,Without,10,3
